1000wordslefttolive,"1,000 Words Left to Live"
5centimeterspersecond,5 Centimeters per Second
5centimeterspersecondchildrenwhochaselostvoices,5 Centimeters per Second + Children Who Chase Lost Voices
5centimeterspersecondonemoreside,5 Centimeters Per Second One More Side
7thtimeloop,7th Time Loop
7thtimeloopthevillainessenjoysacarefreelifemarriedtoherworstenemy,7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!
86eightysix,86--EIGHTY-SIX
86eightysixalter,86--EIGHTY-SIX Alter
8thloopforthewinwithsevenlivesworthofxpandthethirdprincesssappraisalskillmybehemothandiareunstoppable,"8th Loop for the Win! With Seven Lives' Worth of XP and the Third Princess's Appraisal Skill, My Behemoth and I Are Unstoppable!"
abductedprincessrunningrampantwieldingforbiddenmagicinthedemonkingscastle,Abducted Princess Running Rampant: Wielding Forbidden Magic in the Demon King's Castle
aboutaplaceinthekinkiregion,About a Place in the Kinki Region
abridesstorymanga,A Bride's Story (Manga)
acavekingsroadtoparadiseclimbingtothetopwithmyalmightyminingskills,A Cave King's Road to Paradise: Climbing to the Top with My Almighty Mining Skills!
accelworld,Accel World
accidentallyinlovethewitchtheknightandthelovepotionslipup,"Accidentally in Love: The Witch, the Knight, and the Love Potion Slipup"
accomplishmentsofthedukesdaughter,Accomplishments of the Duke's Daughter
acertainmagicalindex,A Certain Magical Index
acertainmagicalindexnt,A Certain Magical Index NT
acozylifeinthewoodswiththewhitewitch,A Cozy Life in the Woods with the White Witch
adachiandshimamura,Adachi and Shimamura
afterschooldungeondiverlevelgrindinginanotherworld,After-School Dungeon Diver: Level Grinding in Another World
agentofthefourseasons,Agent of the Four Seasons
agentsofthefourseasons,Agents of the Four Seasons
agooddaystartswithcatsandbooks,A Good Day Starts with Cats and Books
akaonicontractwithavampire,Akaoni: Contract with a Vampire
alatestarttamerslaidbacklife,A Late-Start Tamer's Laid-Back Life
aliceinthecountryofdiamonds,Alice in the Country of Diamonds
aliceinwonderland,Alice in Wonderland
alicesadventuresinwonderlandandthroughthelookingglass,Alice's Adventures in Wonderland and Through the Looking-Glass
alicestale,Alice's Tale
alilybloomsinanotherworld,A Lily Blooms in Another World
alividladysguidetogettingevenhowicrushedmyhomelandwithmymightygrimoires,A Livid Lady's Guide to Getting Even: How I Crushed My Homeland with My Mighty Grimoires
allyouneediskill,All You Need Is Kill
almark,Almark
altheadventurerthatmagicshouldntwork,Al the Adventurer: That Magic Shouldn't Work!
altinatheswordprincess,Altina the Sword Princess
alyasometimeshidesherfeelingsinrussian,Alya Sometimes Hides Her Feelings in Russian
amagibrilliantpark,Amagi Brilliant Park
amalgamhound,Amalgam Hound
amiactuallythestrongest,Am I Actually the Strongest?
amisanthropeteachesaclassfordemihumans,A Misanthrope Teaches a Class for Demi-Humans
amysbigbrother,Amy's Big Brother
amysteriousjobcalledodanobunaga,A Mysterious Job Called Oda Nobunaga
anarchdemonsdilemmahowtoloveyourelfbride,An Archdemon's Dilemma: How to Love Your Elf Bride
anautumninamberazerosecondjourney,"An Autumn in Amber, a Zero-Second Journey"
animebungostraydogsnovelversion,Anime Bungo Stray Dogs: Novel Version
animesupremacy,Anime Supremacy!
anintrovertshookuphiccupsthisgyaruisheadoverheelsforme,An Introvert's Hookup Hiccups: This Gyaru Is Head Over Heels for Me!
another,Another
anothernovel,Another Novel
anotherworldsurvivalminmaxingmysupportandsummoningmagic,Another World Survival: Min-Maxing My Support and Summoning Magic
anotherworldszombieapocalypseisnotmyproblem,Another World's Zombie Apocalypse Is Not My Problem!
anunrulysummon,An Unruly Summon
aooni,Ao Oni
apalemoonreverie,A Pale Moon Reverie
apocalypsebringermynoghra,Apocalypse Bringer Mynoghra
apparentlydisillusionedadventurerswillsavetheworld,"Apparently, Disillusioned Adventurers Will Save the World"
apparentlyitsmyfaultthatmyhusbandhastheheadofabeast,Apparently It's My Fault That My Husband Has the Head of a Beast
apparitionsghostofoldedo,Apparitions Ghost of Old Edo
apromiseofromance,A Promise of Romance
areyouokaywithaslightlyoldergirlfriend,Are You Okay With a Slightly Older Girlfriend?
arifureta,Arifureta
arifuretafromcommonplacetoworldsstrongest,Arifureta: From Commonplace to World's Strongest
arifuretafromcommonplacetoworldsstrongestzero,Arifureta: From Commonplace to World's Strongest ZERO
arifuretazero,Arifureta Zero
